what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1490348101972
java.specification.version,sysinfo,,,"1.7",1490348101972
java.vendor,sysinfo,,,"Oracle Corporation",1490348101972
java.version,sysinfo,,,"1.7.0_45",1490348101972
java.vm.info,sysinfo,,,"mixed mode",1490348101972
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1490348101972
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1490348101972
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1490348101972
java.vm.specification.version,sysinfo,,,"1.7",1490348101972
java.vm.vendor,sysinfo,,,"Oracle Corporation",1490348101972
java.vm.version,sysinfo,,,"24.45-b08",1490348101972
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1490348102347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490348110345
started,bundle,org.eclipse.m2e.core.ui,1.4.0.20130601-0317,"org.eclipse.m2e.core.ui",1490348112108
started,bundle,org.eclipse.m2e.discovery,1.4.0.20130601-0317,"org.eclipse.m2e.discovery",1490348112123
error,log,,,"An internal error occurred during: ""Retrieving archetypes:"".",1490348847763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490348850212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490348854210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490348864761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1490348864777
started,bundle,org.eclipse.m2e.editor.xml,1.4.0.20130601-0317,"org.eclipse.m2e.editor.xml",1490348865214
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1490348865229
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1490348865307
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1490348871854
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1490348872119
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1490348875538
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1490348875601
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1490348875632
